Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N72	31.91	0	1000
A1	N001	N0	N73	44.64	0	1000
A2	N001	N0	N74	44.71	0	1000
A3	N001	N0	N75	36.88	0	1000
A4	N001	N0	N76	38.38	0	1000
A5	N001	N0	N77	37.68	0	1000
A6	N001	N0	N78	41.07	0	1000
A7	N001	N0	N79	47.93	0	1000
A8	N001	N0	N80	46.54	0	1000
A9	N001	N0	N81	31.6	0	1000
A10	N001	N0	N82	36.34	0	1000
A11	N001	N0	N83	38.72	0	1000
A12	N001	N0	N84	48.22	0	1000
A13	N001	N0	N85	48.83	0	1000
A14	N001	N0	N86	39.39	0	1000
A15	N001	N0	N87	41.69	0	1000
A16	N001	N0	N88	40.62	0	1000
A17	N001	N0	N89	36.1	0	1000
A18	N001	N0	N90	31.73	0	1000
A19	N001	N0	N91	43.25	0	1000
A20	N001	N0	N92	40.97	0	1000
A21	N001	N0	N93	46.4	0	1000
A22	N001	N0	N94	39.7	0	1000
A23	N001	N0	N95	39.62	0	1000
A24	N001	N0	N96	39.59	0	1000
A25	N001	N0	N97	45.06	0	1000
A26	N001	N0	N98	48.47	0	1000
A27	N001	N0	N99	49.81	0	1000
A28	N001	N0	N100	31.69	0	1000
A29	N001	N0	N101	34.18	0	1000
A30	N001	N0	N102	33.12	0	1000
A31	N001	N0	N103	44.34	0	1000
A32	N001	N0	N104	39.78	0	1000
A33	N001	N0	N105	31.05	0	1000
A34	N001	N0	N106	49.59	0	1000
A35	N001	N0	N107	48.46	0	1000
A36	N001	N0	N108	47.87	0	1000
A37	N001	N0	N109	40.96	0	1000
A38	N001	N0	N110	44.66	0	1000
A39	N001	N0	N111	32.49	0	1000
A40	N001	N0	N112	36.33	0	1000
A41	N001	N0	N113	32.49	0	1000
A42	N001	N0	N114	48.07	0	1000
A43	N001	N0	N115	48.61	0	1000
A44	N001	N0	N116	31.87	0	1000
A45	N001	N0	N117	34.27	0	1000
A46	N001	N0	N118	42.3	0	1000
