Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N14	33.86	0	1000
A1	N001	N0	N15	32.75	0	1000
A2	N001	N0	N16	49.79	0	1000
A3	N001	N0	N17	45.99	0	1000
A4	N001	N0	N18	48.44	0	1000
A5	N001	N0	N19	38.39	0	1000
A6	N001	N0	N20	39.14	0	1000
A7	N001	N0	N21	30.52	0	1000
A8	N001	N0	N22	30.11	0	1000
A9	N001	N0	N23	38.08	0	1000
A10	N001	N0	N24	49.21	0	1000
A11	N001	N0	N25	40.59	0	1000
A12	N001	N1	N13	193.46	0	1000
A13	N001	N1	N14	23.42	0	7
A14	N001	N1	N16	13.03	0	8
A15	N001	N1	N18	15.64	0	9
A16	N001	N1	N24	12.76	0	6
A17	N001	N1	N24	16.04	0	6
A18	N001	N1	N23	7.93	0	8
A19	N001	N1	N15	17.68	0	7
A20	N001	N2	N13	195.17	0	1000
A21	N001	N2	N15	24.21	0	5
A22	N001	N2	N25	0.68	0	8
A23	N001	N2	N18	18.09	0	5
A24	N001	N2	N18	19.8	0	8
A25	N001	N2	N18	14.39	0	9
A26	N001	N2	N22	19.35	0	9
A27	N001	N2	N24	13.9	0	8
A28	N001	N3	N13	159.74	0	1000
A29	N001	N3	N16	32.08	0	9
A30	N001	N3	N24	6.91	0	8
A31	N001	N3	N18	1.4	0	5
A32	N001	N3	N15	11.46	0	7
A33	N001	N3	N19	7.39	0	8
A34	N001	N4	N13	165.3	0	1000
A35	N001	N4	N17	31.91	0	8
A36	N001	N4	N21	3.28	0	7
A37	N001	N4	N23	19.69	0	9
A38	N001	N4	N22	16.49	0	6
A39	N001	N4	N16	19.99	0	6
A40	N001	N4	N20	10.0	0	8
A41	N001	N4	N24	3.46	0	7
A42	N001	N5	N13	121.57	0	1000
A43	N001	N5	N18	31.22	0	8
A44	N001	N5	N17	8.38	0	6
A45	N001	N5	N14	16.39	0	7
A46	N001	N5	N24	0.62	0	5
A47	N001	N5	N16	9.71	0	9
A48	N001	N6	N13	150.73	0	1000
A49	N001	N6	N19	33.54	0	8
A50	N001	N6	N17	14.87	0	8
A51	N001	N6	N25	0.77	0	6
A52	N001	N6	N20	1.11	0	8
A53	N001	N6	N24	13.9	0	5
A54	N001	N6	N15	7.47	0	8
A55	N001	N6	N17	19.09	0	7
A56	N001	N7	N13	108.01	0	1000
A57	N001	N7	N20	24.88	0	6
A58	N001	N7	N16	16.59	0	9
A59	N001	N7	N18	17.26	0	8
A60	N001	N7	N14	11.72	0	9
A61	N001	N7	N18	12.7	0	9
A62	N001	N7	N22	6.94	0	9
A63	N001	N7	N16	9.31	0	9
A64	N001	N8	N13	103.1	0	1000
A65	N001	N8	N21	22.96	0	7
A66	N001	N8	N19	19.51	0	7
A67	N001	N8	N15	17.74	0	6
A68	N001	N8	N14	19.51	0	6
A69	N001	N8	N17	12.72	0	6
A70	N001	N8	N16	7.65	0	5
A71	N001	N8	N25	12.58	0	8
A72	N001	N9	N13	162.01	0	1000
A73	N001	N9	N22	37.28	0	5
A74	N001	N9	N25	3.17	0	6
A75	N001	N9	N21	5.14	0	5
A76	N001	N9	N20	9.66	0	8
A77	N001	N9	N24	11.37	0	9
A78	N001	N9	N20	5.57	0	7
A79	N001	N9	N17	16.54	0	7
A80	N001	N9	N18	19.15	0	7
A81	N001	N10	N13	160.94	0	1000
A82	N001	N10	N23	25.95	0	8
A83	N001	N10	N18	19.37	0	9
A84	N001	N10	N16	5.41	0	9
A85	N001	N10	N14	8.51	0	9
A86	N001	N10	N24	7.35	0	7
A87	N001	N10	N24	14.46	0	6
A88	N001	N10	N15	4.59	0	7
A89	N001	N11	N13	177.56	0	1000
A90	N001	N11	N24	29.24	0	5
A91	N001	N11	N19	9.57	0	9
A92	N001	N11	N18	13.57	0	5
A93	N001	N11	N18	12.81	0	8
A94	N001	N11	N21	7.02	0	9
A95	N001	N11	N16	3.15	0	7
A96	N001	N11	N15	7.11	0	7
A97	N001	N12	N13	130.97	0	1000
A98	N001	N12	N25	36.15	0	6
A99	N001	N12	N23	17.7	0	7
A100	N001	N12	N14	19.27	0	9
A101	N001	N12	N20	18.45	0	5
A102	N001	N12	N18	3.05	0	5
A103	N001	N12	N18	10.55	0	7
A104	N001	N12	N23	4.84	0	5
A105	N001	N12	N19	14.51	0	5
A106	N001	N13	N27	43.05	0	1000
A107	N001	N13	N28	45.42	0	1000
A108	N001	N13	N29	33.31	0	1000
A109	N001	N13	N30	46.6	0	1000
A110	N001	N13	N31	40.86	0	1000
A111	N001	N13	N32	41.72	0	1000
A112	N001	N13	N33	43.15	0	1000
A113	N001	N13	N34	48.49	0	1000
A114	N001	N13	N35	42.66	0	1000
A115	N001	N13	N36	40.7	0	1000
A116	N001	N13	N37	37.99	0	1000
A117	N001	N13	N38	45.46	0	1000
A118	N001	N14	N26	199.49	0	1000
A119	N001	N14	N27	22.14	0	5
A120	N001	N14	N35	19.93	0	6
A121	N001	N14	N31	3.21	0	7
A122	N001	N14	N29	1.0	0	8
A123	N001	N14	N38	4.3	0	5
A124	N001	N14	N38	11.91	0	7
A125	N001	N14	N28	11.94	0	7
A126	N001	N14	N38	18.12	0	8
A127	N001	N15	N26	159.64	0	1000
A128	N001	N15	N28	39.1	0	5
A129	N001	N15	N34	1.87	0	5
A130	N001	N15	N35	17.33	0	9
A131	N001	N15	N32	11.83	0	7
A132	N001	N15	N35	13.68	0	9
A133	N001	N15	N29	18.08	0	8
A134	N001	N16	N26	151.91	0	1000
A135	N001	N16	N29	37.25	0	6
A136	N001	N16	N33	16.58	0	5
A137	N001	N16	N27	19.46	0	6
A138	N001	N16	N30	2.84	0	5
A139	N001	N16	N30	18.79	0	9
A140	N001	N17	N26	133.57	0	1000
A141	N001	N17	N30	23.5	0	5
A142	N001	N17	N28	6.54	0	9
A143	N001	N17	N27	0.04	0	6
A144	N001	N17	N37	14.47	0	7
A145	N001	N17	N32	12.9	0	8
A146	N001	N17	N27	4.64	0	8
A147	N001	N18	N26	176.79	0	1000
A148	N001	N18	N31	36.12	0	9
A149	N001	N18	N37	12.16	0	5
A150	N001	N18	N33	19.58	0	8
A151	N001	N18	N30	10.24	0	7
A152	N001	N18	N36	19.17	0	8
A153	N001	N18	N34	6.26	0	9
A154	N001	N18	N33	16.42	0	8
A155	N001	N19	N26	164.46	0	1000
A156	N001	N19	N32	32.17	0	8
A157	N001	N19	N34	0.58	0	5
A158	N001	N19	N36	14.01	0	9
A159	N001	N19	N27	9.03	0	5
A160	N001	N19	N34	16.32	0	9
A161	N001	N19	N33	2.16	0	9
A162	N001	N19	N33	19.54	0	7
A163	N001	N20	N26	149.26	0	1000
A164	N001	N20	N33	29.94	0	9
A165	N001	N20	N37	4.61	0	9
A166	N001	N20	N32	9.42	0	8
A167	N001	N20	N32	18.51	0	7
A168	N001	N20	N37	15.97	0	9
A169	N001	N20	N35	15.95	0	9
A170	N001	N21	N26	199.93	0	1000
A171	N001	N21	N34	23.92	0	6
A172	N001	N21	N28	11.71	0	8
A173	N001	N21	N32	14.31	0	5
A174	N001	N21	N31	4.14	0	8
A175	N001	N21	N36	13.29	0	6
A176	N001	N21	N35	15.34	0	6
A177	N001	N22	N26	174.43	0	1000
A178	N001	N22	N35	27.87	0	8
A179	N001	N22	N32	1.09	0	6
A180	N001	N22	N38	8.59	0	8
A181	N001	N22	N32	0.78	0	9
A182	N001	N22	N30	1.76	0	6
A183	N001	N22	N32	7.82	0	6
A184	N001	N23	N26	118.12	0	1000
A185	N001	N23	N36	22.79	0	7
A186	N001	N23	N29	16.79	0	6
A187	N001	N23	N32	9.57	0	5
A188	N001	N23	N32	17.06	0	9
A189	N001	N23	N34	7.42	0	6
A190	N001	N23	N34	19.04	0	8
A191	N001	N23	N28	5.03	0	5
A192	N001	N24	N26	154.87	0	1000
A193	N001	N24	N37	21.59	0	6
A194	N001	N24	N33	16.66	0	5
A195	N001	N24	N31	18.24	0	6
A196	N001	N24	N34	5.77	0	9
A197	N001	N24	N31	12.95	0	6
