Arc_ID	Net_ID	from_N	to_N	cost	low	up
A0	N001	N0	N7	33.97	0	1000
A1	N001	N0	N8	40.78	0	1000
A2	N001	N0	N9	33.41	0	1000
A3	N001	N0	N10	31.2	0	1000
A4	N001	N0	N11	34.87	0	1000
A5	N001	N1	N6	112.55	0	1000
A6	N001	N1	N7	25.35	0	5
A7	N001	N1	N9	14.43	0	7
A8	N001	N1	N9	13.8	0	6
A9	N001	N2	N6	136.07	0	1000
A10	N001	N2	N8	31.8	0	8
A11	N001	N2	N9	8.18	0	5
A12	N001	N2	N11	8.62	0	7
A13	N001	N3	N6	114.75	0	1000
A14	N001	N3	N9	31.41	0	5
A15	N001	N3	N10	9.71	0	7
A16	N001	N3	N11	3.54	0	7
A17	N001	N4	N6	196.79	0	1000
A18	N001	N4	N10	24.73	0	5
A19	N001	N4	N7	12.09	0	5
A20	N001	N4	N8	0.63	0	5
A21	N001	N5	N6	126.66	0	1000
A22	N001	N5	N11	34.69	0	6
A23	N001	N5	N9	7.35	0	8
A24	N001	N5	N7	2.42	0	5
A25	N001	N6	N13	35.31	0	1000
A26	N001	N6	N14	33.49	0	1000
A27	N001	N6	N15	31.9	0	1000
A28	N001	N6	N16	38.18	0	1000
A29	N001	N6	N17	35.86	0	1000
A30	N001	N7	N12	193.28	0	1000
A31	N001	N7	N13	36.98	0	8
A32	N001	N7	N16	9.25	0	5
A33	N001	N7	N16	9.35	0	6
A34	N001	N8	N12	129.32	0	1000
A35	N001	N8	N14	39.59	0	8
A36	N001	N8	N16	13.31	0	9
A37	N001	N8	N16	15.41	0	9
A38	N001	N9	N12	104.02	0	1000
A39	N001	N9	N15	25.76	0	7
A40	N001	N9	N14	7.09	0	8
A41	N001	N9	N14	19.84	0	6
A42	N001	N10	N12	152.22	0	1000
A43	N001	N10	N16	37.39	0	7
A44	N001	N10	N15	1.82	0	7
A45	N001	N10	N17	7.69	0	8
A46	N001	N11	N12	119.86	0	1000
A47	N001	N11	N17	25.01	0	5
A48	N001	N11	N16	18.72	0	6
A49	N001	N11	N13	7.65	0	5
A50	N001	N12	N19	31.47	0	1000
A51	N001	N12	N20	38.89	0	1000
A52	N001	N12	N21	32.8	0	1000
A53	N001	N12	N22	47.29	0	1000
A54	N001	N12	N23	32.95	0	1000
A55	N001	N13	N18	160.95	0	1000
A56	N001	N13	N19	26.76	0	8
A57	N001	N13	N20	1.0	0	8
A58	N001	N13	N20	8.66	0	8
A59	N001	N14	N18	155.71	0	1000
A60	N001	N14	N20	25.45	0	8
A61	N001	N14	N19	0.83	0	7
A62	N001	N14	N21	7.97	0	5
A63	N001	N15	N18	146.0	0	1000
A64	N001	N15	N21	33.3	0	5
A65	N001	N15	N19	9.2	0	8
A66	N001	N15	N19	17.72	0	8
A67	N001	N16	N18	148.56	0	1000
A68	N001	N16	N22	35.72	0	5
A69	N001	N16	N21	14.99	0	9
A70	N001	N16	N19	6.08	0	5
A71	N001	N17	N18	111.5	0	1000
A72	N001	N17	N23	31.27	0	7
A73	N001	N17	N20	8.57	0	9
A74	N001	N17	N19	19.57	0	6
