24	5	3
NodeKey	NetKey	Supply	Demand	Shortage	Overage
N0	N001	17	16	0.0	0.0
N1	N001	20	18	0.0	0.0
N2	N001	16	18	0.0	0.0
N3	N001	26	18	0.0	0.0
N4	N001	24	22	0.0	0.0
N5	N001	19	25	0.0	0.0
N6	N001	0	17	0.0	0.0
N7	N001	0	18	0.0	0.0
N8	N001	0	27	0.0	0.0
N9	N001	0	18	0.0	0.0
N10	N001	0	22	0.0	0.0
N11	N001	0	14	0.0	0.0
N12	N001	0	27	0.0	0.0
N13	N001	0	19	0.0	0.0
N14	N001	0	16	0.0	0.0
N15	N001	0	24	0.0	0.0
N16	N001	0	11	0.0	0.0
N17	N001	0	14	0.0	0.0
N18	N001	0	11	0.0	0.0
N19	N001	0	22	0.0	0.0
N20	N001	0	17	0.0	0.0
N21	N001	0	17	0.0	0.0
N22	N001	0	23	0.0	0.0
N23	N001	0	18	0.0	0.0
